time,A's ID,B's ID,A Clicks,B Clicks,Looking at A's piece,Looking at B's piece
2015-04-14 10:33:07.675000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:07.808000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:07.941000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:08.041000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:08.141000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:08.240000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:08.341000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:08.474000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:08.607000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:08.709000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:08.840000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:08.939000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:09.208000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:09.407000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:09.507000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:09.607000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:09.707000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:09.807000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:09.974000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:10.072000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:10.272000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:10.639000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:10.839000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:10.939000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:11.039000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:11.272000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:11.506000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:11.605000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:11.705000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:11.804000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:11.905000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:12.003000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:12.171000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:12.271000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:12.370000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:12.470000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:12.737000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:12.870000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:13.503000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:13.670000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:13.769000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:13.872000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:13.969000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:14.103000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:14.235000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:14.338000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:14.570000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:14.834000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:14.968000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:15.071000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:15.168000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:15.270000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:15.402000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:15.501000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:15.603000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:15.701000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:15.834000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:15.934000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:16.034000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:16.134000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:16.233000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:16.334000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:16.436000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:16.534000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:16.635000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:16.733000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:16.833000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:16.934000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:17.068000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:17.201000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:17.300000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:17.401000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
2015-04-14 10:33:17.867000,SP1S2,SP1S1,octopus_04,easy2_10,False,False
