Test at 5/7/2015 5:15:10 PM,

Client Num:, 31, X: ,277, Y: ,399,Time: ,2015-05-07 17:15:27.144
Client Num: ,31, X_Received: ,202, Y_Received: ,250,Time: ,2015-05-07 17:15:27.144
Client Num:, 31, X: ,283, Y: ,404,Time: ,2015-05-07 17:15:27.244
Client Num: ,31, X_Received: ,201, Y_Received: ,258,Time: ,2015-05-07 17:15:27.244
Client Num:, 31, X: ,5, Y: ,526,Time: ,2015-05-07 17:15:27.344
Client Num: ,31, X_Received: ,199, Y_Received: ,259,Time: ,2015-05-07 17:15:27.344
Client Num:, 31, X: ,17, Y: ,539,Time: ,2015-05-07 17:15:27.444
Client Num: ,31, X_Received: ,205, Y_Received: ,263,Time: ,2015-05-07 17:15:27.444
Client Num:, 31, X: ,15, Y: ,538,Time: ,2015-05-07 17:15:27.544
Client Num: ,31, X_Received: ,219, Y_Received: ,278,Time: ,2015-05-07 17:15:27.544
Client Num:, 31, X: ,15, Y: ,537,Time: ,2015-05-07 17:15:27.644
Client Num: ,31, X_Received: ,237, Y_Received: ,296,Time: ,2015-05-07 17:15:27.644
Client Num:, 31, X: ,14, Y: ,538,Time: ,2015-05-07 17:15:27.744
Client Num: ,31, X_Received: ,251, Y_Received: ,314,Time: ,2015-05-07 17:15:27.744
Client Num:, 31, X: ,14, Y: ,540,Time: ,2015-05-07 17:15:27.844
Client Num: ,31, X_Received: ,269, Y_Received: ,333,Time: ,2015-05-07 17:15:27.844
Client Num:, 31, X: ,16, Y: ,544,Time: ,2015-05-07 17:15:27.944
Client Num: ,31, X_Received: ,281, Y_Received: ,344,Time: ,2015-05-07 17:15:27.944
Client Num:, 31, X: ,14, Y: ,543,Time: ,2015-05-07 17:15:28.043
Client Num: ,31, X_Received: ,289, Y_Received: ,355,Time: ,2015-05-07 17:15:28.043
Client Num:, 31, X: ,17, Y: ,545,Time: ,2015-05-07 17:15:28.144
Client Num: ,31, X_Received: ,166, Y_Received: ,477,Time: ,2015-05-07 17:15:28.144
Client Num:, 31, X: ,18, Y: ,545,Time: ,2015-05-07 17:15:28.244
Client Num: ,31, X_Received: ,157, Y_Received: ,467,Time: ,2015-05-07 17:15:28.244
Client Num:, 31, X: ,20, Y: ,545,Time: ,2015-05-07 17:15:28.343
Client Num: ,31, X_Received: ,160, Y_Received: ,460,Time: ,2015-05-07 17:15:28.343
Client Num:, 31, X: ,21, Y: ,547,Time: ,2015-05-07 17:15:28.443
Client Num: ,31, X_Received: ,158, Y_Received: ,463,Time: ,2015-05-07 17:15:28.443
Client Num:, 31, X: ,23, Y: ,548,Time: ,2015-05-07 17:15:28.544
Client Num: ,31, X_Received: ,158, Y_Received: ,463,Time: ,2015-05-07 17:15:28.544
Client Num:, 31, X: ,25, Y: ,549,Time: ,2015-05-07 17:15:28.643
