
Test at 4/14/2015 4:26:52 PM,

Client Num:, 5, X: ,80, Y: ,86,Time: ,2015-04-14 16:27:29.483
Client Num:, 5, X: ,70, Y: ,83,Time: ,2015-04-14 16:27:29.682
Client Num:, 5, X: ,61, Y: ,85,Time: ,2015-04-14 16:27:29.782
Client Num:, 5, X: ,55, Y: ,86,Time: ,2015-04-14 16:27:29.884
Client Num:, 5, X: ,52, Y: ,86,Time: ,2015-04-14 16:27:29.983
Client Num:, 5, X: ,50, Y: ,86,Time: ,2015-04-14 16:27:30.082
Client Num:, 5, X: ,49, Y: ,86,Time: ,2015-04-14 16:27:30.182
Client Num:, 5, X: ,46, Y: ,84,Time: ,2015-04-14 16:27:30.281
Client Num:, 5, X: ,45, Y: ,82,Time: ,2015-04-14 16:27:30.383
Client Num:, 5, X: ,45, Y: ,81,Time: ,2015-04-14 16:27:30.484
Client Num:, 5, X: ,45, Y: ,79,Time: ,2015-04-14 16:27:30.585
Client Num:, 5, X: ,45, Y: ,76,Time: ,2015-04-14 16:27:30.683
Client Num:, 5, X: ,46, Y: ,74,Time: ,2015-04-14 16:27:30.783
Client Num:, 5, X: ,-231, Y: ,463,Time: ,2015-04-14 16:27:30.949
Client Num:, 5, X: ,-17, Y: ,94,Time: ,2015-04-14 16:27:31.049
Client Num:, 5, X: ,25, Y: ,88,Time: ,2015-04-14 16:27:31.150
Client Num:, 5, X: ,38, Y: ,94,Time: ,2015-04-14 16:27:31.249
Client Num:, 5, X: ,709, Y: ,-377,Time: ,2015-04-14 16:27:31.748
Client Num: ,5, X_Received: ,203, Y_Received: ,107,Time: ,2015-04-14 16:27:31.748
Client Num:, 5, X: ,184, Y: ,303,Time: ,2015-04-14 16:27:31.848
Client Num: ,5, X_Received: ,209, Y_Received: ,112,Time: ,2015-04-14 16:27:31.848
Client Num:, 5, X: ,171, Y: ,368,Time: ,2015-04-14 16:27:31.948
Client Num: ,5, X_Received: ,214, Y_Received: ,108,Time: ,2015-04-14 16:27:31.948
Client Num:, 5, X: ,671, Y: ,244,Time: ,2015-04-14 16:27:32.047
Client Num: ,5, X_Received: ,214, Y_Received: ,108,Time: ,2015-04-14 16:27:32.047
Client Num:, 5, X: ,702, Y: ,214,Time: ,2015-04-14 16:27:32.148
Client Num: ,5, X_Received: ,214, Y_Received: ,108,Time: ,2015-04-14 16:27:32.148
Client Num:, 5, X: ,501, Y: ,205,Time: ,2015-04-14 16:27:32.249
Client Num: ,5, X_Received: ,172, Y_Received: ,120,Time: ,2015-04-14 16:27:32.249
Client Num:, 5, X: ,275, Y: ,184,Time: ,2015-04-14 16:27:32.350
Client Num: ,5, X_Received: ,170, Y_Received: ,123,Time: ,2015-04-14 16:27:32.350
Client Num:, 5, X: ,248, Y: ,154,Time: ,2015-04-14 16:27:32.448
Client Num: ,5, X_Received: ,164, Y_Received: ,127,Time: ,2015-04-14 16:27:32.448
Client Num:, 5, X: ,204, Y: ,172,Time: ,2015-04-14 16:27:32.623
Client Num:, 5, X: ,204, Y: ,143,Time: ,2015-04-14 16:27:32.713
Client Num: ,5, X_Received: ,82, Y_Received: ,611,Time: ,2015-04-14 16:27:32.713
Client Num:, 5, X: ,205, Y: ,147,Time: ,2015-04-14 16:27:32.813
Client Num: ,5, X_Received: ,206, Y_Received: ,387,Time: ,2015-04-14 16:27:32.813
Client Num:, 5, X: ,198, Y: ,149,Time: ,2015-04-14 16:27:32.913
Client Num: ,5, X_Received: ,285, Y_Received: ,245,Time: ,2015-04-14 16:27:32.913
Client Num:, 5, X: ,183, Y: ,366,Time: ,2015-04-14 16:27:33.013
Client Num: ,5, X_Received: ,221, Y_Received: ,275,Time: ,2015-04-14 16:27:33.013
