Test at 4/30/2015 10:52:05 AM,

Client Num: ,15, X_Received: ,1431, Y_Received: ,279,Time: ,2015-04-30 11:38:09.923
Client Num:, 15, X: ,634, Y: ,311,Time: ,2015-04-30 11:38:10.026
Client Num: ,15, X_Received: ,1441, Y_Received: ,206,Time: ,2015-04-30 11:38:10.026
Client Num:, 15, X: ,-466, Y: ,992,Time: ,2015-04-30 11:38:10.123
Client Num: ,15, X_Received: ,1444, Y_Received: ,202,Time: ,2015-04-30 11:38:10.123
Client Num:, 15, X: ,-1229, Y: ,847,Time: ,2015-04-30 11:38:10.221
Client Num: ,15, X_Received: ,1452, Y_Received: ,193,Time: ,2015-04-30 11:38:10.221
Client Num:, 15, X: ,-2698, Y: ,580,Time: ,2015-04-30 11:38:10.322
Client Num: ,15, X_Received: ,1459, Y_Received: ,187,Time: ,2015-04-30 11:38:10.322
Client Num:, 15, X: ,-3670, Y: ,977,Time: ,2015-04-30 11:38:10.423
Client Num: ,15, X_Received: ,1460, Y_Received: ,184,Time: ,2015-04-30 11:38:10.423
Client Num:, 15, X: ,1044, Y: ,-620,Time: ,2015-04-30 11:38:10.523
Client Num: ,15, X_Received: ,1452, Y_Received: ,202,Time: ,2015-04-30 11:38:10.523
Client Num:, 15, X: ,467, Y: ,-2163,Time: ,2015-04-30 11:38:10.622
Client Num: ,15, X_Received: ,1459, Y_Received: ,195,Time: ,2015-04-30 11:38:10.622
Client Num:, 15, X: ,1374, Y: ,1716,Time: ,2015-04-30 11:38:10.722
Client Num: ,15, X_Received: ,1463, Y_Received: ,193,Time: ,2015-04-30 11:38:10.722
Client Num:, 15, X: ,-1083, Y: ,1146,Time: ,2015-04-30 11:38:10.823
Client Num: ,15, X_Received: ,1464, Y_Received: ,189,Time: ,2015-04-30 11:38:10.823
Client Num:, 15, X: ,-274, Y: ,691,Time: ,2015-04-30 11:38:10.924
Client Num: ,15, X_Received: ,1467, Y_Received: ,182,Time: ,2015-04-30 11:38:10.924
Client Num:, 15, X: ,-1889, Y: ,646,Time: ,2015-04-30 11:38:11.022
Client Num: ,15, X_Received: ,1468, Y_Received: ,179,Time: ,2015-04-30 11:38:11.022
Client Num:, 15, X: ,-3787, Y: ,585,Time: ,2015-04-30 11:38:11.121
Client Num: ,15, X_Received: ,1469, Y_Received: ,170,Time: ,2015-04-30 11:38:11.121
Client Num: ,15, X_Received: ,1464, Y_Received: ,177,Time: ,2015-04-30 11:38:11.121
Client Num:, 15, X: ,-15668, Y: ,567,Time: ,2015-04-30 11:38:11.253
Client Num: ,15, X_Received: ,1380, Y_Received: ,323,Time: ,2015-04-30 11:38:11.253
Client Num:, 15, X: ,1037, Y: ,305,Time: ,2015-04-30 11:38:11.355
Client Num: ,15, X_Received: ,1387, Y_Received: ,293,Time: ,2015-04-30 11:38:11.355
Client Num:, 15, X: ,451, Y: ,783,Time: ,2015-04-30 11:38:11.456
Client Num: ,15, X_Received: ,1230, Y_Received: ,293,Time: ,2015-04-30 11:38:11.456
Client Num:, 15, X: ,1216, Y: ,1325,Time: ,2015-04-30 11:38:11.558
Client Num: ,15, X_Received: ,516, Y_Received: ,316,Time: ,2015-04-30 11:38:11.558
Client Num:, 15, X: ,398, Y: ,957,Time: ,2015-04-30 11:38:11.688
Client Num: ,15, X_Received: ,491, Y_Received: ,281,Time: ,2015-04-30 11:38:11.688
Client Num:, 15, X: ,-765, Y: ,1350,Time: ,2015-04-30 11:38:11.788
Client Num: ,15, X_Received: ,464, Y_Received: ,239,Time: ,2015-04-30 11:38:11.788
Client Num:, 15, X: ,-1180, Y: ,684,Time: ,2015-04-30 11:38:11.888
Client Num: ,15, X_Received: ,640, Y_Received: ,157,Time: ,2015-04-30 11:38:11.888
Client Num:, 15, X: ,-4271, Y: ,365,Time: ,2015-04-30 11:38:11.989
Client Num: ,15, X_Received: ,631, Y_Received: ,157,Time: ,2015-04-30 11:38:11.989
Client Num:, 15, X: ,-2345, Y: ,371,Time: ,2015-04-30 11:38:12.088
Client Num: ,15, X_Received: ,631, Y_Received: ,157,Time: ,2015-04-30 11:38:12.088
Client Num:, 15, X: ,-3563, Y: ,112,Time: ,2015-04-30 11:38:12.453
Client Num: ,15, X_Received: ,353, Y_Received: ,841,Time: ,2015-04-30 11:38:12.453
Client Num:, 15, X: ,-1040, Y: ,419,Time: ,2015-04-30 11:38:12.587
Client Num: ,15, X_Received: ,337, Y_Received: ,846,Time: ,2015-04-30 11:38:12.587
Client Num:, 15, X: ,-1998, Y: ,302,Time: ,2015-04-30 11:38:12.787
Client Num: ,15, X_Received: ,348, Y_Received: ,856,Time: ,2015-04-30 11:38:12.787
Client Num:, 15, X: ,-612, Y: ,668,Time: ,2015-04-30 11:38:12.887
Client Num: ,15, X_Received: ,350, Y_Received: ,860,Time: ,2015-04-30 11:38:12.887
Client Num:, 15, X: ,-1638, Y: ,589,Time: ,2015-04-30 11:38:13.021
Client Num: ,15, X_Received: ,352, Y_Received: ,863,Time: ,2015-04-30 11:38:13.021
Client Num:, 15, X: ,-1305, Y: ,791,Time: ,2015-04-30 11:38:13.119
Client Num: ,15, X_Received: ,352, Y_Received: ,864,Time: ,2015-04-30 11:38:13.119
Client Num:, 15, X: ,708, Y: ,688,Time: ,2015-04-30 11:38:13.220
Client Num: ,15, X_Received: ,351, Y_Received: ,865,Time: ,2015-04-30 11:38:13.220
Client Num:, 15, X: ,-77, Y: ,567,Time: ,2015-04-30 11:38:13.319
Client Num: ,15, X_Received: ,829, Y_Received: ,703,Time: ,2015-04-30 11:38:13.319
Client Num:, 15, X: ,610, Y: ,527,Time: ,2015-04-30 11:38:13.424
Client Num: ,15, X_Received: ,829, Y_Received: ,680,Time: ,2015-04-30 11:38:13.424
Client Num:, 15, X: ,-1528, Y: ,375,Time: ,2015-04-30 11:38:13.519
Client Num: ,15, X_Received: ,826, Y_Received: ,686,Time: ,2015-04-30 11:38:13.519
Client Num:, 15, X: ,-20, Y: ,370,Time: ,2015-04-30 11:38:13.685
Client Num: ,15, X_Received: ,761, Y_Received: ,699,Time: ,2015-04-30 11:38:13.685
Client Num:, 15, X: ,448, Y: ,335,Time: ,2015-04-30 11:38:13.819
Client Num: ,15, X_Received: ,595, Y_Received: ,560,Time: ,2015-04-30 11:38:13.819
Client Num:, 15, X: ,193, Y: ,328,Time: ,2015-04-30 11:38:13.918
Client Num: ,15, X_Received: ,590, Y_Received: ,562,Time: ,2015-04-30 11:38:13.918
Client Num:, 15, X: ,-246, Y: ,430,Time: ,2015-04-30 11:38:14.019
Client Num: ,15, X_Received: ,604, Y_Received: ,554,Time: ,2015-04-30 11:38:14.019
Client Num:, 15, X: ,-3553, Y: ,394,Time: ,2015-04-30 11:38:14.119
