Test at 5/12/2015 2:04:20 PM,
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:08.623
Client Num:, 37, X: ,278, Y: ,836,Time: ,2015-05-12 14:37:08.722
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:08.722
Client Num:, 37, X: ,272, Y: ,843,Time: ,2015-05-12 14:37:08.822
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:08.822
Client Num:, 37, X: ,265, Y: ,846,Time: ,2015-05-12 14:37:08.923
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:08.923
Client Num:, 37, X: ,316, Y: ,144,Time: ,2015-05-12 14:37:09.022
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:09.022
Client Num:, 37, X: ,334, Y: ,149,Time: ,2015-05-12 14:37:09.122
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:09.122
Client Num:, 37, X: ,139, Y: ,41,Time: ,2015-05-12 14:37:09.222
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:09.222
Client Num:, 37, X: ,174, Y: ,46,Time: ,2015-05-12 14:37:09.322
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:09.322
Client Num:, 37, X: ,173, Y: ,45,Time: ,2015-05-12 14:37:09.422
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:09.422
Client Num:, 37, X: ,398, Y: ,113,Time: ,2015-05-12 14:37:09.521
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:09.521
Client Num:, 37, X: ,406, Y: ,112,Time: ,2015-05-12 14:37:09.623
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:09.623
Client Num:, 37, X: ,450, Y: ,109,Time: ,2015-05-12 14:37:09.722
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:09.722
Client Num:, 37, X: ,474, Y: ,110,Time: ,2015-05-12 14:37:09.822
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:09.822
Client Num:, 37, X: ,171, Y: ,59,Time: ,2015-05-12 14:37:09.922
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:09.922
Client Num:, 37, X: ,168, Y: ,49,Time: ,2015-05-12 14:37:10.021
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:10.021
Client Num:, 37, X: ,184, Y: ,72,Time: ,2015-05-12 14:37:10.121
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:10.121
Client Num:, 37, X: ,205, Y: ,124,Time: ,2015-05-12 14:37:10.221
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:10.221
Client Num:, 37, X: ,204, Y: ,579,Time: ,2015-05-12 14:37:10.322
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:10.322
Client Num:, 37, X: ,216, Y: ,607,Time: ,2015-05-12 14:37:10.421
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:10.421
Client Num:, 37, X: ,212, Y: ,600,Time: ,2015-05-12 14:37:10.521
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:10.521
Client Num:, 37, X: ,214, Y: ,595,Time: ,2015-05-12 14:37:10.621
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:10.621
Client Num:, 37, X: ,213, Y: ,598,Time: ,2015-05-12 14:37:10.721
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:10.721
Client Num:, 37, X: ,206, Y: ,608,Time: ,2015-05-12 14:37:10.820
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:10.820
Client Num:, 37, X: ,199, Y: ,617,Time: ,2015-05-12 14:37:10.921
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:10.921
Client Num:, 37, X: ,190, Y: ,626,Time: ,2015-05-12 14:37:11.020
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:11.020
Client Num:, 37, X: ,185, Y: ,631,Time: ,2015-05-12 14:37:11.120
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:11.120
Client Num:, 37, X: ,178, Y: ,638,Time: ,2015-05-12 14:37:11.220
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:11.220
Client Num:, 37, X: ,174, Y: ,639,Time: ,2015-05-12 14:37:11.320
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:11.320
Client Num:, 37, X: ,172, Y: ,640,Time: ,2015-05-12 14:37:11.421
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:11.421
Client Num:, 37, X: ,169, Y: ,638,Time: ,2015-05-12 14:37:11.520
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:11.520
Client Num:, 37, X: ,169, Y: ,641,Time: ,2015-05-12 14:37:11.621
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:11.621
Client Num:, 37, X: ,168, Y: ,644,Time: ,2015-05-12 14:37:11.720
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:11.720
Client Num:, 37, X: ,168, Y: ,642,Time: ,2015-05-12 14:37:11.820
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:11.820
Client Num:, 37, X: ,169, Y: ,644,Time: ,2015-05-12 14:37:11.920
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:11.920
Client Num:, 37, X: ,173, Y: ,642,Time: ,2015-05-12 14:37:12.020
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:12.020
Client Num:, 37, X: ,175, Y: ,641,Time: ,2015-05-12 14:37:12.120
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:12.120
Client Num:, 37, X: ,177, Y: ,639,Time: ,2015-05-12 14:37:12.220
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:12.220
Client Num:, 37, X: ,179, Y: ,639,Time: ,2015-05-12 14:37:12.320
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:12.320
Client Num:, 37, X: ,182, Y: ,639,Time: ,2015-05-12 14:37:12.420
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:12.420
Client Num:, 37, X: ,188, Y: ,637,Time: ,2015-05-12 14:37:12.519
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:12.519
Client Num:, 37, X: ,193, Y: ,636,Time: ,2015-05-12 14:37:12.620
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:12.620
Client Num:, 37, X: ,202, Y: ,638,Time: ,2015-05-12 14:37:12.719
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:12.719
Client Num:, 37, X: ,210, Y: ,638,Time: ,2015-05-12 14:37:12.819
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:12.819
Client Num:, 37, X: ,212, Y: ,631,Time: ,2015-05-12 14:37:12.920
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:12.920
Client Num:, 37, X: ,217, Y: ,630,Time: ,2015-05-12 14:37:13.019
Client Num: ,37, X_Received: ,1879, Y_Received: ,1240,Time: ,2015-05-12 14:37:13.019
Client Num:, 37, X: ,224, Y: ,631,Time: ,2015-05-12 14:37:13.119
